,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
585,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never
586,Yes,Yes,No,I don't know,Yes,Very easy,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Sometimes,Often,36,Genderqueer/Other,United States of America,Sometimes
587,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I experienced",No,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,35,Male,United States of America,Sometimes
588,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,N/A,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Sometimes
589,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,I don't know,No,I don't know,"Yes, I think it would",Maybe,Neutral,No,,Yes,No,No,No,0,Rarely,Sometimes,32,Female,United States of America,Never
590,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,N/A,,Yes,Maybe,Maybe,Yes,1,Rarely,Sometimes,37,Male,United States of America,Sometimes
591,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,I don't know,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,40,Female,United States of America,Never
592,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,I don't know,Yes,No,Yes,1,Rarely,Often,45,Male,United States of America,Never
593,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,I don't know,Maybe,"Yes, I think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Sometimes
594,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,No,0,Not applicable to me,Often,44,Male,United States of America,Sometimes
595,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,Yes,Some of my previous employers,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,29,Male,United States of America,Never
596,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,52,Male,United States of America,Always
597,I don't know,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Sometimes
598,Yes,Yes,No,Yes,Yes,I don't know,Yes,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Female,United States of America,Sometimes
599,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,No,1,Not applicable to me,Sometimes,35,Male,United States of America,Always
600,Yes,I am not sure,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,No,Yes,Yes,1,Often,Often,45,Male,United States of America,Always
601,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Sometimes
602,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Very open,No,,Yes,Yes,No,Yes,1,Sometimes,Often,26,Male,United States of America,Sometimes
603,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Yes,,Maybe,Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Sometimes
604,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,54,Female,United States of America,Sometimes
605,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Often,25,Male,United States of America,Sometimes
606,Yes,No,No,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,,"Yes, I think it would","Yes, I think they would",Not open at all,N/A,,No,Yes,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,Never
607,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,No,No,No,1,Sometimes,Sometimes,32,Male,United States of America,Sometimes
608,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Very open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Often,Often,56,Male,United States of America,Sometimes
609,Yes,I am not sure,No,I don't know,No,Somewhat difficult,Yes,Yes,Maybe,No,No,No,"No, at none of my previous employers","Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,No,1,Sometimes,Often,43,Male,United States of America,Sometimes
610,I don't know,I am not sure,I don't know,I don't know,No,I don't know,No,No,No,Maybe,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,45,Male,United States of America,Never
611,Yes,No,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,I don't know,No,Maybe,No,1,Never,Sometimes,40,Male,United States of America,Sometimes
612,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,No,1,Sometimes,Often,52,Male,United States of America,Sometimes
613,,,,,,,,,,,,,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Maybe,No,1,Sometimes,Often,24,Genderqueer/Other,United States of America,Sometimes
614,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, it has","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,37,Male,United States of America,Sometimes
615,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Sometimes
616,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,No,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,United States of America,Sometimes
617,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,I don't know,Maybe,Maybe,No,1,Sometimes,Often,49,Male,United States of America,Always
618,Not eligible for coverage / N/A,N/A,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, they do not",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,22,Female,United States of America,Always
619,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Often,43,Male,United States of America,Sometimes
620,,,,,,,,,,,,,"No, at none of my previous employers","Yes, it has","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,33,Male,United States of America,Never
621,Yes,Yes,No,Yes,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,36,Female,United States of America,Sometimes
622,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,Yes,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,26,Female,United States of America,Sometimes
623,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,43,Male,United States of America,Sometimes
624,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Maybe,No,0,Sometimes,Sometimes,21,Male,United States of America,Sometimes
625,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Maybe,No,No,Yes,No,Some of my previous employers,"Yes, I think it would",Maybe,Neutral,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,36,Male,United States of America,Never
626,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Genderqueer/Other,United States of America,Sometimes
627,Yes,I am not sure,No,Yes,Yes,Very difficult,Yes,Yes,Maybe,No,I don't know,No,"No, at none of my previous employers","Yes, it has","Yes, they do",Somewhat not open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,36,Male,United States of America,Sometimes
628,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,Sometimes
629,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,30,Female,United States of America,Always
630,No,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,49,Female,United States of America,Sometimes
631,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,Sometimes
632,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,No,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,41,Male,United States of America,Sometimes
633,No,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,No,No,No,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Often,Often,47,Male,United States of America,Sometimes
634,Yes,Yes,Yes,Yes,Yes,Very easy,No,Maybe,Maybe,Yes,No,Yes,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,Yes,No,Yes,1,Rarely,Sometimes,51,Male,United States of America,Never
635,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, it has","Yes, they do",Somewhat not open,Maybe/Not sure,Yes,No,Yes,Yes,Yes,1,Sometimes,Often,26,Male,United States of America,Never
636,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Often,24,Male,United States of America,Never
637,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Maybe,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,33,Female,United States of America,Always
638,Yes,Yes,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,No,"No, at none of my previous employers",Maybe,"Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Female,United States of America,Sometimes
639,Yes,No,No,No,Yes,Very difficult,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,57,Male,United States of America,Always
640,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, it has",Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,39,Male,United States of America,Never
641,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,26,Female,United States of America,Sometimes
642,I don't know,No,I don't know,Yes,Yes,I don't know,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,38,Male,United States of America,Sometimes
643,Yes,Yes,No,No,Yes,I don't know,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30,Male,United States of America,Sometimes
644,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Often,Often,25,Female,United States of America,Sometimes
645,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,No,Yes,Yes,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,40,Male,United States of America,Sometimes
646,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Female,United States of America,Sometimes
647,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Yes,Maybe,No,No,"Yes, at all of my previous employers","Yes, I think it would",Maybe,Very open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Rarely,Often,34,Male,United States of America,Never
648,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,46,Female,United States of America,Sometimes
649,Not eligible for coverage / N/A,N/A,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"Yes, at all of my previous employers","Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Never,Often,31,Female,United States of America,Sometimes
650,I don't know,No,No,No,I don't know,I don't know,Maybe,No,Yes,Yes,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
651,,,,,,,,,,,,,"Yes, at all of my previous employers","Yes, it has","Yes, they do",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,26,Genderqueer/Other,United States of America,Always
652,Yes,Yes,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers","No, it has not","No, they do not",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Male,United States of America,Never
653,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,I don't know,Yes,No,Yes,1,Sometimes,Sometimes,40,Male,United States of America,Always
654,Yes,I am not sure,No,I don't know,I don't know,Very easy,Maybe,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Very open,Maybe/Not sure,No,I don't know,Maybe,Yes,Yes,1,Sometimes,Often,39,Male,United States of America,Always
655,Yes,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Sometimes
656,I don't know,I am not sure,No,Yes,I don't know,Very easy,Maybe,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Always
657,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Always
658,I don't know,No,No,No,Yes,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,,Maybe,Maybe,Very open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Sometimes
